sp_id,sp_name,avg_savings,,,,
285764,Hubbard Auto Center of Scottsdale,15780,,,,
433597,ISSIMI Inc,12265.91667,,,,
400763,Land Rover North Dade,12071,,,,
404217,iLusso,12067.78571,,,,
438358,Precision Imports,11914,,,,2773
416003,United Sports Autotmotives LLC,11640,,,,3302.320161
384531,Barnaba Auto Sport,11411.66667,,,,2264
303378,Aston Martin of Beverly Hills,11249,,,,
292489,Ferrari of Tampa Bay,11018.61538,,,,
268569,Lamborghini Houston,10397.96296,,,,
57437,Greg Darnell Ford,10332,,,,
430374,Bentley Naples,10302.16667,,,,
302962,Porsche Lehi and Audi Lehi,10177,,,,
350835,Platinum Leasing of Orlando,10163,,,,
439954,Banned Auto Group LLC,10143.8,,,,
310276,Joe's Car Connection,9948,,,,
291381,D & M Motorsports,9613.428571,,,,
327407,Braman Bentley - Braman Rolls Royce,9292.548387,,,,
435809,Fox Auto Sales,9218,,,,
301124,MotorCars International,9180.625,,,,
375612,1Source Auto Boutique,8953,,,,
302403,Ferrari of San Antonio,8623,,,,
280371,EC CARS,8524,,,,
280207,Excell Auto Group Inc.,7962.526316,,,,
274175,Ferrari Maserati of Central New Jersey,7726.3,,,,
341685,MasterCars Company Inc.,7523,,,,
376449,Velocity Motorcars LLC,7165.238095,,,,
435733,McLaren of Charlotte (Used Cars),7162.663866,,,,
67477,Lake Forest Sportscars,7142.981132,,,,
286924,Metro Nissan of Redlands,7124,,,,
409707,Pagani of Beverly Hills,7032.833333,,,,
283860,Enthusiast Auto Group,7011.666667,,,,
409663,Mr Auto USA,6997,,,,
378391,Motorvation,6785,,,,
284992,Calabasas Luxury Motorcars,6734.3,,,,
431882,Benton Truck Sales,6722,,,,
403509,Joe Myars Motors,6689,,,,
401506,Signature Motors OK,6658.25,,,,
278863,Towbin Motor Cars,6613,,,,
393000,Auto Deal Miami,6593,,,,
336959,Black Horse Motors,6549.066667,,,,
153960,Gerardo's Foreign Car Service,6525.5,,,,
409902,Silicon Auto Group,6443.428571,,,,
349455,San Francisco Sports Cars,6361.37931,,,,
295079,Audi Warrington,6353,,,,
285413,Algar Ferrari of Philadelphia,6351.5,,,,
278717,Chapman BMW Chandler,6245,,,,
306454,Jackson's Auto Sales,6227,,,,
333677,UDrive Automobiles,6128.944444,,,,
437166,Wide World Ferrari,6117.058824,,,,
438842,AD Auto,6071,,,,
349703,Private All Star Cars,6052,,,,
67483,Continental Autosports Ferrari,6008.87234,,,,
305813,Eurocar,6007.413333,,,,
433137,GT3 Auto Group,5941.333333,,,,
62941,BMW of Tyler,5934,,,,
432739,Richmond Rocket Auto Sales LLC,5880,,,,
338165,BMW of Cape Cod,5823,,,,
414975,Tactical Fleet,5785.709677,,,,
333474,Brandon Nissan,5757,,,,
311545,Sienna Motors,5751.055556,,,,
283835,Thomas Classics,5746.695652,,,,
440750,CarVio Fresno,5703,,,,
64531,Mazda Knoxville,5611,,,,
278473,Gunbarrel Import Motors,5596.4,,,,
283551,The New Auto Toy Store,5593.175824,,,,
280098,Jon Dellinger Automotive,5555,,,,
48244,Durrence Layne Chevrolet Buick GMC,5463,,,,
47279,Orr GM Superstore,5439,,,,
57898,Tennessee Valley Ford,5403,,,,
435455,Get Motorsports,5400.4,,,,
382565,Ten 11 Auto,5376,,,,
386100,Shafer Auto Group,5349,,,,
370997,O'Gara Coach La Jolla,5305.705882,,,,
319976,Williams Group Auto,5295,,,,
402841,Castle Ford-Lincoln,5275,,,,
285399,Parkway of Wilmington,5242,,,,
432787,Jaguar Land Rover of South Shore,5234,,,,
406923,Discovery Auto Group,5218,,,,
437196,Don Jackson Chrysler Dodge Jeep Ram North,5193.666667,,,,
47820,Taylor Motors Inc,5190,,,,
287384,Ray Catena of Freehold,5167,,,,
405055,The Kar Lot,5167,,,,
275817,Gibson Truck World,5147,,,,
105113,Ferrari of Washington,5133.636364,,,,
301183,Porsche Wichita,5127,,,,
391181,G Motors,5093,,,,
354097,OC Autosource,5066.435897,,,,
436078,Marshall Goldman Beverly Hills,5045.74,,,,
436019,BOSS Exotics,5030.444444,,,,
333516,Bayshore Automotive,4949,,,,
435009,Elkhorn Motor Company ,4934.647059,,,,
381742,SV Motorsport,4933.642857,,,,
366970,Maserati of Newport Beach,4929,,,,
431957,V V Gross Autotrading Company,4917,,,,
347056,Direct Auto Sales,4914,,,,
400600,Mark Motors,4910.091837,,,,
383499,C&R Motors,4910,,,,
296200,Sport Durst Chrysler Jeep Dodge Ram,4892,,,,
61659,Vicksburg Chrysler Dodge Jeep Ram,4874,,,,
124888,Auto Showcase of Carol Stream,4845,,,,
345702,USA Cars,4841.125,,,,
293033,Bill Dodge BMW,4841,,,,
415862,Auto Cafe of Florida,4837.285714,,,,
67336,Ferrari Bentley Lotus of Denver,4823.517241,,,,
415834,Northwest Motorsport - Spokane,4815,,,,
341678,DDW Partners,4802.625,,,,
376472,Response Motors,4763,,,,
400806,Wolf's Elite Autos,4757.8,,,,
415580,Advantage Auto Direct,4746.5,,,,
435243,Gables Sports Cars,4717.772727,,,,
397780,Auto Boutique - Jacksonville,4682,,,,
185978,On The Road Automotive Group Inc,4655.631579,,,,
437283,H&L Motorcars,4650.277778,,,,
273675,Ferrari-Maserati of New England,4645.294118,,,,
285106,Redline European,4626.96,,,,
275335,Team Chevrolet of Goldsboro,4604,,,,
275892,Formula Sports Cars,4599.304348,,,,
390845,Makes & Models,4595.1875,,,,
278509,Red Noland Pre Owned Center,4558,,,,
325739,Mckee's On 14th,4555,,,,
51492,Vestal Buick GMC,4545,,,,
283686,Motorcars of Jackson,4540.263158,,,,
349665,Gulf Coast Motorworks,4509.194444,,,,
434719,Chris' Auto Sales Corp,4501,,,,
340556,Performance Auto Wholesalers,4495.869565,,,,
284883,Plaza Motors,4491,,,,
282174,Jersey Motors,4488,,,,
49139,Studebaker Buick GMC,4477,,,,
51624,Chevrolet Buick GMC of Mount Vernon,4457,,,,
289771,Bentley Parsippany,4427,,,,
53655,Gene Messer Chevrolet,4403,,,,
309168,Fifth Street Motors,4385,,,,
438612,Powertech Select Motorcars,4382,,,,
297547,Lamborghini Sarasota,4362.56,,,,
285764,Hubbard Auto Center of Scottsdale,4349.354839,,,,
408382,Synergy Motors,4346,,,,
372395,United Auto Exchange,4341,,,,
305612,Peltier Subaru,4318,,,,
397829,A.J. Dohmann Chrysler,4316,,,,
125581,Ogden Lincoln of Westmont,4309,,,,
399321,Overton Automotive,4308.571429,,,,
290369,Luxury Auto Leasing,4298.538462,,,,
439119,Allen Samuels Volkswagen,4291,,,,
350875,Celebrity Auto Group,4280.125,,,,
302607,Travis Auto Group,4279.5,,,,
398725,26 Motors,4277.969697,,,,
416328,Volvo Cars West Houston,4273.5,,,,
65153,Carriage Nissan,4263,,,,
436579,Ultra Motorcars,4258.893617,,,,
298325,Larry Stigers Equipment Trailers & Trucks ,4248.192308,,,,
58511,Gagne Ford Inc.,4231,,,,
298814,Maserati of Cincinnati,4221,,,,
409083,Dealz and Auto Stealz,4219,,,,
373391,Porsche of Tampa,4204.157895,,,,
59906,Acura of Serramonte,4199,,,,
279026,Value Cars Inc,4177,,,,
439876,Bullet Automotive Group,4172.307692,,,,
297027,Capitol Motors LLC,4170,,,,
435537,Eastside Motoring,4168.666667,,,,
381534,Northshore Motors,4160.760563,,,,
283416,Team One Motorcars,4156.875,,,,
372345,Bentley Rolls-Royce Motor Cars Westlake,4124.962963,,,,
380154,Lamborghini Broward,4070,,,,
385769,Vegas Auto Gallery,4068.278481,,,,
57515,Skyline Ford South,4067,,,,
282692,Castle Car NY,4060.14,,,,
382834,Red Carpet Quality Auto,4056,,,,
291232,EuroCars LLC,4056,,,,
285608,Platinum Auto Group,4055,,,,
333683,Cantech Automotive,4053.6,,,,
369480,IntelliCar,4047,,,,
334352,Kalispell Ford,4046.5,,,,
379369,Car Connections KC,4044,,,,
367246,Rancho Santa Fe Autos,4040.425,,,,
340507,Autoland of West,4030.25,,,,
50382,Skinners Chevrolet Buick GMC,4023,,,,
318398,Baseline Auto Group,4014,,,,
430372,Rolls Royce Naples,3982.933333,,,,
63454,Gillis Auto Center,3979.5,,,,
336242,Fusion Luxury Motors,3971.5,,,,
283803,Marshall Goldman Motor Sales,3970.045802,,,,
338623,CNC Motors,3968.137931,,,,
287896,Auffenberg Ford North,3965.333333,,,,
346031,Audi North Orlando,3955.75,,,,
275069,Porsche Annapolis,3953,,,,
285409,Integrity Motors,3947,,,,
349153,McLaren Scottsdale,3939.733333,,,,
437466,AutoBuy Direct,3938,,,,
379674,Gulf Coast Exotic Auto LLC,3935.166667,,,,
381928,iAuto,3930,,,,
60900,Midway Dodge,3930,,,,
382005,Apple Auto Mitsubishi,3929.5,,,,
290274,Prostrollo All-American Auto Mall,3922,,,,
276025,Porsche Fort Myers,3912.666667,,,,
266490,Rusnak Westlake Porsche,3901.259259,,,,
282731,Auto Gallery Imports,3897.871795,,,,
370818,DBE Enterprises,3887,,,,
285111,Pacific Auto Center,3881.5,,,,
325776,Phil Wright Autoplex,3866.5,,,,
62077,BMW of Oyster Bay,3864.615385,,,,
370296,Long Island Sports Cars,3840.69697,,,,
343247,Jake's Motorcars,3832.181818,,,,
388988,Emperial Luxury Motors,3828.181818,,,,
252054,Martins German Service Inc,3827,,,,
384196,McLaren Boston,3819.764706,,,,
342812,Exotic Sports Cars,3808.166667,,,,
276161,Capitol Hyundai Montgomery,3806,,,,
405137,Catalano Motors,3802,,,,
337739,Car Geeks,3800.666667,,,,
407070,Brookwood Auto Group,3799,,,,
374407,Bryans Car Corner,3797,,,,
97656,Future Nissan,3796.833333,,,,
413673,Farha Used Cars,3776,,,,
379915,West Coast Exotic Cars,3769.88,,,,
377185,Auto World,3763,,,,
67741,Foreign Cars Italia,3756.627451,,,,
341586,Elite Motorsports,3752.133333,,,,
344744,Novak Motorcars,3750.833333,,,,
63288,Sunland Park Chrysler Jeep Dodge Ram,3750,,,,
99713,The Ultimate Machines,3745.5,,,,
326355,Barrett Auto Gallery,3743.857143,,,,
353628,Sewell Cadillac Buick GMC of Midland,3741,,,,
279424,Luxury Motorcars,3730,,,,
392329,HGreg Lux,3726.701439,,,,
346367,North Park Corner Lot,3726,,,,
274289,Ferrari Maserati of Long Island,3722.5,,,,
439084,Jaguar Buffalo,3713.2,,,,
319359,J & S Auto,3706,,,,
310063,Gillman Chevrolet Buick GMC,3702.5,,,,
295736,Reynolds Automotive,3698.75,,,,
397092,Royal Motorcars Inc.,3698,,,,
407731,Arm Motors Inc,3686,,,,
290072,26 Motors 26,3680.253521,,,,
48064,Nimnicht Buick GMC,3676,,,,
64604,Mercedes-Benz of Alexandria,3675,,,,
386009,Car City,3667,,,,
284231,Chicago Motor Cars - East,3660.3,,,,
283128,Classic Motors,3656,,,,
349073,S & H Motor Sales,3651.5,,,,
406072,Equipment Sales of Alabama,3649.142857,,,,
152287,Bentley Boston,3647.25,,,,
341151,BMW of Monrovia,3637,,,,
434287,Euro Prestige Imports LLC,3635.375,,,,
298790,Frontier Motors,3628,,,,
288637,Audi of Colorado Springs,3614.666667,,,,
342669,Unique Auto Import,3607.080645,,,,
55705,Terry's Ford of Peotone,3595,,,,
366464,Village Auto Sales,3589.6,,,,
335301,AExotic Motors,3588.95,,,,
56001,Victory Ford,3585.5,,,,
290584,Rayco Eurospec Motorcars,3577.25,,,,
62918,Classic BMW,3571.5,,,,
332384,Georgetown Auto Sales,3568,,,,
351972,DMK Vehicle Sales and Equipment,3565.333333,,,,
392920,Drive Deleon,3564,,,,
385655,Choice Motor Group LLC,3556.615385,,,,
340504,Greenlite Car Sales,3552,,,,
336451,Palm Springs Hyundai,3548,,,,
249167,Sheehy Volkswagen of Springfield,3545,,,,
363574,RAM Truck and Auto Sales,3544.333333,,,,
63903,Crown Eurocars,3539,,,,
328336,Napleton's Northlake Chrysler Dodge Jeep Ram,3536,,,,
60285,San Diego Chrysler Dodge Jeep Ram,3532,,,,
407751,RoadSport,3529.243243,,,,
63970,Prince Automotive of Valdosta,3528,,,,
434629,Heritage Ford of Vernal Inc.,3517,,,,
433085,Champion Auto,3516.071429,,,,
63832,McDonald Mazda,3506,,,,
60219,BMW of Monterey,3502,,,,
348022,I-75 Pierson Automotive,3496,,,,
310612,Mikes Auto Sales,3495,,,,
140008,Parks Motors of Augusta,3480,,,,
432590,Elite Auto House,3478,,,,
385771,Carrio MotorCars,3472.964286,,,,
340355,United Luxury Motors,3463,,,,
275867,Bomnin Chevrolet Homestead,3463,,,,
231144,Land Rover Austin,3459,,,,
319971,Beauchamp Motors,3457.9375,,,,
430557,Icon Exotics,3453.692308,,,,
430790,LS Automotive,3448,,,,
67398,Ferrari Maserati of Central Florida,3437.269231,,,,
275319,Mercedes-Benz of Cary,3436,,,,
344626,RMC Motorcars,3429.206897,,,,
373237,Mall of Georgia Mini,3426,,,,
292063,Rainbow Mitsubishi North,3423,,,,
389827,NYC Motorcars,3419.601449,,,,
379942,Hi Tech Luxury Imports,3406.411765,,,,
333516,Bayshore Automotive,3400.24,,,,
413318,Dealer Source Automotive,3393,,,,
66224,Volvo of Lynchburg,3392,,,,
374173,Tom Kadlec Kia,3390,,,,
288339,Armadillo Auto Sales,3388,,,,
343406,Hertz Car Sales Kearny Mesa,3382,,,,
401990,CarHeroes,3381.576923,,,,
431447,RP Exotics,3380.208333,,,,
57848,Cleveland Ford,3379.666667,,,,
232261,David McDavid Lincoln,3368,,,,
339081,Alfano Motorcars,3368,,,,
366516,Quantum Auto Sales,3367.833333,,,,
278863,Towbin Motor Cars,3367.241379,,,,
375422,Auto Facil Club,3366.666667,,,,
434805,Envy Auto Group,3361.285714,,,,
59725,Superior Acura of Dayton,3361,,,,
379807,Norco Autoland,3361,,,,
284518,ADL Auto Sales,3355,,,,
66878,Foreign Cars Charlotte,3354.277778,,,,
371615,Manhattan Motorcars Inc.,3353.588235,,,,
362542,Supreme Auto Group,3347.598485,,,,
383699,Victory Toyota,3345.8,,,,
51504,Team Chevrolet Swansboro,3339,,,,
66357,Rusnak Porsche Pasadena,3333.403509,,,,
334860,McKaig Chevrolet Buick,3332.25,,,,
282634,European Masters,3329.349727,,,,
283507,Vera Motors,3327,,,,
274971,Country Diesels,3323.037037,,,,
433737,FIAT of Albuquerque,3312,,,,
431724,Executive Motorcars,3299,,,,
369451,Murray Chrysler Dodge Jeep Ram,3296,,,,
48638,Wight Chevrolet Company,3292,,,,
367133,Merlex Auto Group,3288.542857,,,,
281538,Don's Automotive Group,3287.5,,,,
289257,Herb Chambers Porsche of Boston,3286.625,,,,
434780,Periko Motor Corporation,3278,,,,
417331,Diesel Alliance Trucks,3272.5,,,,
111375,Holman Motorcars Ft. Lauderdale,3271.041096,,,,
290645,Ford of Clermont,3270,,,,
105061,Land Rover Alexandria,3257,,,,
408212,Summit Auto Company,3256,,,,
385238,Mike Ward Maserati of Denver,3254.416667,,,,
282781,European Automobile Company,3253.571429,,,,
440164,Sunset Distributing,3249.5,,,,
412551,Pablo Motors,3245.666667,,,,
285015,Sports Trend Auto,3243.125,,,,
56628,Bill Russell Ford Lincoln,3238.125,,,,
404899,Faulkner Infiniti of Mechanicsburg,3237,,,,
288635,Jackie Cooper BMW MINI,3234.333333,,,,
438878,Cars and Trucks Auto Sales LLC,3231.363636,,,,
116291,Ferrari Maserati of Atlanta,3224.608696,,,,
382756,St Marys Chrysler Dodge Jeep Ram,3223,,,,
56212,Marler Ford Company Inc,3219,,,,
438336,Emex Motors,3214.285714,,,,
326058,Ferrari Maserati Alfa Romeo of Fort Lauderdale,3210.136126,,,,
386143,Executive Auto Sales,3207.222222,,,,
279925,John L. Sullivan Chevrolet,3205.25,,,,
52757,Ewing Buick GMC,3203,,,,
333522,26 Motors of Queens,3196.636364,,,,
432179,Trofeo Motors LLC,3187,,,,
60203,Volkswagen Pasadena,3183,,,,
274063,Benzel-Busch Mercedes-Benz,3178.174129,,,,
302037,Classic Chrysler Jeep Dodge Ram,3178,,,,
350895,Pat McGrath Chevyland,3176,,,,
282969,Dependable Auto Outlet,3175,,,,
404483,Fabelas Auto Sales- Dickinson,3175,,,,
280726,Weisco Motorcars,3174.058824,,,,
291015,Leavitt Auto & Truck,3170.05,,,,
273797,Merchants Automotive Group,3157.7,,,,
286910,Joe Hall Ford Lincoln,3155,,,,
316177,Extreme Autoplex LLC,3154,,,,
197066,Westgate Chrysler Jeep Dodge Ram,3153,,,,
308005,Oldfield's Used Cars,3151,,,,
51871,Jeff Wyler Springfield Chevrolet,3148.5,,,,
311454,Atlanta Autos,3147,,,,
430629,Auto Gallery Mitsubishi of Murrieta,3145.338462,,,,
51668,Christy Chevy Buick Inc.,3143,,,,
398247,Quality Cars,3143,,,,
66141,Nissan of Midland,3137.666667,,,,
431781,Digital Autogroup LA,3137,,,,
411876,Texas Auto Corporation,3135,,,,
434373,Island Auto Mall,3134.365672,,,,
231371,Carsandpickups.com,3131,,,,
328953,Mile High Exotic Motors Inc.,3123.434783,,,,
50994,Straub Motors Inc.,3121,,,,
438712,Fort Hays Auto Sales,3121,,,,
401571,Haus of Imports,3118,,,,
289462,McLaren Philadelphia,3113.244898,,,,
63823,Mercedes-Benz of Littleton,3104,,,,
62031,Autoserv of Tilton,3100,,,,
335932,Kressley’s Auto and Truck,3097.15,,,,
281691,Carbine Motorcars Direct,3096.6,,,,
432605,Dream Car Gallery,3094.833333,,,,
400669,Petrol Auto Sales,3094,,,,
326027,Abernethy Chrysler Jeep Dodge Ram,3085.5,,,,
417012,Fields Mazda Chrysler Jeep Dodge RAM,3081,,,,
435686,Benoit Chrysler Dodge Jeep Ram,3071,,,,
439606,Fitch Motorsports Co,3067.714286,,,,
276487,C&N Motor Cars,3063,,,,
340776,NYC Motorcars of the Bronx,3061.432,,,,
283198,Koons Arlington Toyota,3058,,,,
340042,Star Buick GMC Cadillac Llc,3056,,,,
64716,Lithia Hyundai of Anchorage,3054,,,,
310694,Doaba Motors,3053.181818,,,,
319564,Village Motors,3050,,,,
435561,EuroMotors LLC,3050,,,,
64936,NorCal Motor Company,3039.384615,,,,
326986,Naples Luxury Imports,3036.521739,,,,
438151,Ameritex Autos,3033,,,,
312322,Speed Auto Sales and Leasing,3033,,,,
438552,Pleasant Auto Group,3032.4,,,,
57454,Byford Ford of Fairview,3027.962963,,,,
406347,Forward Auto Sales,3022,,,,
278878,Reno Buick GMC Cadillac,3019,,,,
281093,K.C. Motor Co,3019,,,,
410589,Auto Vision LLC,3016,,,,
300816,Rick Ridings Ford,3006,,,,
101003,Porsche Colorado Springs,3001.25,,,,
63815,Mercedes-Benz of Sacramento,2999.140845,,,,
382122,Car Factory Outlet Miami,2998.666667,,,,
275903,The Garage,2994.611111,,,,
60818,Cutter Dodge Chrysler Jeep Pearl City,2993,,,,
377648,Florida Direct Auto,2992.5,,,,
432706,NuVo Trade Company,2990.5,,,,
386264,Specialty Car Collection,2990.192308,,,,
375437,West Coast Motors LLC,2988,,,,
436914,DrivePanda.com-Joliet,2984,,,,
183177,Mercedes Benz of Princeton,2977,,,,
64662,Puyallup Truck Country,2972,,,,
280115,State Street Truck Stop,2966.541667,,,,
58386,Soerens Ford of Brookfield,2966,,,,
278638,Mercedes-Benz of Salt Lake City,2958,,,,
63242,San Marcos Chrysler Dodge,2951.5,,,,
275232,Valley Auto Sales,2950,,,,
433197,Mario's Auto Sales Inc,2949,,,,
405793,Only Cars NJ,2948.508772,,,,
390078,Courtesy Ford Conyers,2944,,,,
60522,Braman Miami,2942,,,,
430758,Baron Auto Emporium,2940.320755,,,,
326844,GM Sales,2938.4,,,,
55457,Greenway Dodge Chrysler Jeep,2937,,,,
285409,Integrity Motors,2933.71875,,,,
411530,Noco Services,2932.5,,,,
279142,OC Autohaus,2931.8,,,,
57122,Stearns Ford Inc,2930.666667,,,,
388019,Zimmey's Automotive Of Schaefferstown,2929.25,,,,
55598,Sunbelt Ford of Cordele,2924,,,,
399766,Certified Luxury Motors,2922.804598,,,,
367904,Midwestern,2922.666667,,,,
57007,Metro Ford Sales Inc.,2922.5,,,,
291875,Wendell Auto Brokers,2922,,,,
339483,Platinum Motor Cars,2921.142857,,,,
312007,Motor City Chevrolet Buick GMC,2918,,,,
410652,Audi Fletcher Jones,2917,,,,
275705,Greenway Nissan of Brunswick,2915,,,,
234883,Gabriel Jordan Buick GMC,2911,,,,
342637,ALM Mall of Georgia,2903,,,,
385401,Grace Motors,2899.363636,,,,
280066,Auto Drive,2896.636364,,,,
368731,Power Volkswagen,2896,,,,
433713,AMG Auto Traders,2890.75,,,,
180304,Car Factory,2888.052632,,,,
351447,Diesel World Truck Sales,2886.964286,,,,
347567,County Seat Motors,2884,,,,
302464,Spikes Ford,2883.571429,,,,
284737,Strawberry Road Auto,2883.324675,,,,
374793,BMW MINI of Escondido,2881.333333,,,,
399425,Artan Auto Center,2876.666667,,,,
411907,AutoMania,2875.666667,,,,
344296,Motorwerks,2873.333333,,,,
277399,Prestige Auto Sales,2873,,,,
392106,Truck World RVA,2869.636364,,,,
60253,BMW of San Rafael,2869.5,,,,
437552,Certified Luxury Motors VS,2868.25,,,,
283291,Mitchell Mill Motors,2867.75,,,,
50587,Behlmann Buick GMC Cadillac,2865,,,,
57430,Seth Wadley Ford Lincoln,2860,,,,
407875,Private Stock Auto Collection,2859,,,,
53325,Patriot Chevrolet of Darlington,2857,,,,
431379,Coast To Coast Cars,2856,,,,
401265,Graham Motor Company,2855,,,,
304204,Stockton Hyundai,2854,,,,
344941,Gretna Auto Outlet,2848,,,,
401587,Lupo Motors,2847.066667,,,,
276345,Desoto Auto Sales,2843,,,,
281904,Porsche Princeton,2829,,,,
311590,Bert Smith Porsche,2827.694444,,,,
66121,Ingram Park Nissan,2822,,,,
431889,Brothers Auto Sales,2820,,,,
336616,Eddie's Auto World,2818.375,,,,
275128,Select Auto Imports,2816.892473,,,,
280371,EC CARS,2816.5,,,,
55664,Corwin Ford Nampa,2816,,,,
288519,Columbia Chrysler Dodge Jeep RAM,2816,,,,
284911,Rackley Auto Group - Reno,2812.5,,,,
376938,Nationwide Motors,2812,,,,
280996,Smith Motor Company,2810,,,,
385120,Motor City USA,2809.515152,,,,
335706,Cole-Krum Chevrolet,2805,,,,
362262,Auto Boutique Chicago,2804.25,,,,
440094,Absolute Motors II,2800,,,,
363923,The Barn Miami,2798.210526,,,,
297560,Crystal Chrysler Dodge Jeep of Homosassa,2790.535714,,,,
399238,Crown Mercedes Benz Dublin,2789,,,,
438167,Imperial Highline,2788,,,,
438395,Alpha One Motors,2784.222222,,,,
187238,Auto Expo,2780.25641,,,,
349112,Jumbo Luxury Cars - Hollywood,2779.164179,,,,
435041,Club MotorCars,2778.941176,,,,
406677,TD Trucks,2777.277778,,,,
416640,Rhino Motors Group,2773.821429,,,,
351511,Samcar Inc,2773.333333,,,,
341436,RT Motors,2772.666667,,,,
61075,Mike Anderson Chrysler Dodge Jeep RAM Fiat of Marion,2768,,,,
344938,Utah Valley Autos,2768,,,,
402659,Motor Tex,2765.470588,,,,
337615,Car Dealz,2762.333333,,,,
